"ID"	"Key"	"Value"
"id-e56936518f0b49ca9601ac8a555bd77b"	"Directed"	"false"
"id-e3a323bef2634d9da776686a520eb0da"	"Directed"	"false"
"id-e2a897e0ec514f87a5949cec342e8d18"	"Directed"	"false"
"id-bcf520852fb24efe9b52379c48fa72d0"	"Directed"	"false"
"id-42d15e484ff4438598efd03e56975dea"	"Directed"	"false"
"id-58da24149cec43048bdc1c9b12f9f17a"	"Directed"	"false"
"id-6a49cd04f3ab4bc38ba302b854d67e6c"	"Directed"	"false"
"id-207869573b0a4d9ea4ae148008c38f6d"	"Directed"	"false"
"id-17040f1b3b1c46139baa08a336c20e4b"	"Directed"	"false"
"id-c41106a013084b76a1fdb3921cb726a7"	"Directed"	"false"
"id-21038741066b454a8465e78f6f1f81f8"	"Directed"	"false"
"id-627f56dfb80d4a3bacb99424ab28b6a6"	"Directed"	"false"
"id-0c83e3107f3e4293bb04f29a058ba192"	"Directed"	"false"
"id-fa5e7fb43bc64deeb445031afa75c4b4"	"Directed"	"false"
"id-749e77e140674368a33ad09c53e50079"	"Directed"	"false"
"id-8e039e739d894d8e82ec06a9f0148e91"	"Directed"	"false"
"id-54240764c949464f8df58671b53a4c82"	"Directed"	"false"
"id-e5c7d2d344754581987ad3e2d102024d"	"Directed"	"false"
"id-73b182db7b3d43c180572bd0ce48480d"	"Directed"	"false"
"id-5132cd164b2f4a8bbdfbc5a87fa7832f"	"Directed"	"false"
"id-3104e839ed624d709abccf29b9a6f23a"	"Directed"	"false"
"id-7b2b97d9d11940deb4d7669bf1c4fdd5"	"Directed"	"false"
"id-51728a1acc124ca2b94456885c1b5022"	"Directed"	"false"
"id-9e3ccf9c6a3d4485b23b071548bf1107"	"Directed"	"false"
"id-75b8e7599e094b889de35a365e3185e5"	"Directed"	"false"
"id-abd4893993da4e3baab8c391bf0090ce"	"Directed"	"false"
"id-33b09fa25efb4978b5c5d2c9be1a7afa"	"Directed"	"false"
"id-656017323db840cf955b2b193690cc99"	"Directed"	"false"
"id-007b39c5bd2a489bab8d281a72672dac"	"Directed"	"false"
"id-e4ddbbadb1904780b65d6f73b5a93e9f"	"Directed"	"false"
"id-f2e1847eb15345b8acb8e6e63474b83c"	"Directed"	"false"
"id-48c0d1201ba242ee8dd5470463dc5efe"	"Directed"	"false"
"id-cca3573d7a354218a519f2714c4fbc57"	"Directed"	"false"
"id-82d397a84d48430092358b847a2d36cb"	"Directed"	"false"
"id-23d433d827ab46dca8e5ce412363db8d"	"Directed"	"false"
"id-d7f56e7e849f4aa285e64fa164a36ce5"	"Directed"	"false"
"id-eb0ef2833a4447919c710cad508e222d"	"Directed"	"false"
"id-f61dae26825e4a019be6b26fe06acc4a"	"Directed"	"false"
"id-3ea97f75a4784a52bb822dafba094ed0"	"Directed"	"false"
"id-6487f02ea5664059b982f8980ac8b9f2"	"Directed"	"false"
"id-6a041b4a2ff24bbaae8ff9d5acd55a48"	"Directed"	"false"
"id-ae94643673f6490597e9b6ffb305a925"	"Directed"	"false"
"id-fae36b63b9ec49f7afda8fcaafb07620"	"Directed"	"false"
"id-cc36a059e09f4c3aab63d208d917b526"	"Directed"	"false"
"id-bda64741bf1540058f585453046bf927"	"Directed"	"false"
"id-c8b376f14e394c97a053f2ffd7235601"	"Directed"	"false"
"id-ab7e5befd283468b90ddc932bc158286"	"Directed"	"false"
"id-7d3c93e80d6b433e9f0a97d13caae627"	"Directed"	"false"
"id-abfcb404d4a742618d9584f7802fa7c0"	"Directed"	"false"
"id-678c667eed03422786ce5ba47fe6e290"	"Directed"	"false"
"id-a04059bf47c0433f8093cf826759fc03"	"Directed"	"false"
"id-7b362f2f1839432a98e12d54067737ba"	"Directed"	"false"
"id-ac7267b456ef43fdaeb6509dff00b9c9"	"Directed"	"false"
"id-ed29c5d22edb41cfa4b2cdcb7f9697c8"	"Directed"	"false"
"id-ee98e5f2ed1e44c6bdf5171f61c19117"	"Directed"	"false"
"id-df2b2cc7ae984686a0252e281b3f726c"	"Directed"	"false"
"id-98b3b88415a84bb087a219592b62e53d"	"Directed"	"false"
"id-1f6c4ec15a9b42fca8fd524543b4bf6d"	"Directed"	"false"
"id-2be68a64530c4ff8a9363f38fb85e66c"	"Directed"	"false"
"id-aa022ad239bf46f2b9dbd03ba133ea05"	"Directed"	"false"
"id-2ee1781c4cdb4d9aa9ced2354851e3fc"	"Directed"	"false"
"id-1888ebbd177c4ed3b1927e2244ad49f7"	"Directed"	"false"
"id-683082131cab49d8a278eef031bdb324"	"Directed"	"false"
"id-c5f7e0ca7adf4bea90fef50d1d0b8a3b"	"Directed"	"false"
"id-e37f60a555e946b3a7111d6cad94d82c"	"Directed"	"false"
"id-4d4b3dbcf02d4e24a8552bc31f7ccae6"	"Directed"	"false"
"id-42ed4b83ef39430e807c6b20c74d7782"	"Directed"	"false"
"id-fc11963a8f9f4fbea3984c1446a35658"	"Directed"	"false"
"id-55471aab1b2a4bfa9d4105931e7ccdf7"	"Directed"	"false"
"id-e7e86448b48241c9817b1964805b7f41"	"Directed"	"false"
"id-7d95a022d0b84847b27d9f8e4e8a7a45"	"Directed"	"false"
"id-003a8c499d2b4de0b91d1a6b255a28b9"	"Directed"	"false"
"id-4834027dd55d48c2b3d43a610e94a5dc"	"Directed"	"false"
"id-11931324d9204c578f32bbab0fb7b83f"	"Directed"	"false"
