"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-e32149165dc942879b1d315eaf958e78","CompositionRelationship","","","id-c22dd592cd9e473189aa16be778b5aae","id-1d3eb43020d5494fbb2d78dae48848f7",""
"id-c6754ba34a9b4a8a852a7b98323c66c9","CompositionRelationship","","","id-c22dd592cd9e473189aa16be778b5aae","id-6b3d8fa0bd6a42d087972cb06f577be9",""
"id-aa01d5f404aa4f05950e4a24b45d8c6c","CompositionRelationship","","","id-c22dd592cd9e473189aa16be778b5aae","id-a4992d4d81514a1ab8d6a9a6b9ae509e",""
"id-e7c4a5beb7e74f8ab2fb77108d883b64","CompositionRelationship","","","id-c22dd592cd9e473189aa16be778b5aae","id-d6183782cfb5486f89da9d037ae8f437",""
"id-5e18e549fc67486fab019e8a08e72b43","CompositionRelationship","","","id-8faad619b79b4100a1fd2ece7e3cb571","id-63c3f842cd7a43ccbc472d6f6d701778",""
"id-dcaa80cd058e414999b2da1becdfbcef","CompositionRelationship","","","id-8faad619b79b4100a1fd2ece7e3cb571","id-5422e16dab6147c09f3e998fd3d6addb",""
"id-5a40010916714c57a45858fceb9250e9","CompositionRelationship","","","id-d825ae5e150048c3958da9ddafc9c400","id-788c271c7dea454caf658ef7f763d0a2",""
"id-2166ad2ef82c4ff687982841822f0bd3","CompositionRelationship","","","id-d825ae5e150048c3958da9ddafc9c400","id-2d204933b0dc4765bc5dba55381ea8c3",""
"id-6eb18229065c4ea690feb2538fa8db11","CompositionRelationship","","","id-d825ae5e150048c3958da9ddafc9c400","id-bceaa16202f44d3bacbb9ac681da7572",""
"id-1488a3fb19e94be997e76fd7ff6ffcd4","CompositionRelationship","","","id-593466ae34904094acda8a8619d94436","id-e907c883e95e499c806969157e2211b8",""
"id-053eb58923d94b8a92ee8e89e816b2e7","CompositionRelationship","","","id-593466ae34904094acda8a8619d94436","id-700aa5d2ea01448bbca8f03628db1220",""
"id-24c5a42d9cae4ef3b7b742268339df82","CompositionRelationship","","","id-e6d019a7dab249d891966b0418d01cae","id-3113eb906ace4fdaa9791fbc8ba7c92f",""
"id-96038394667446ee9ce689fd4db32a08","CompositionRelationship","","","id-e6d019a7dab249d891966b0418d01cae","id-17932947f2f24c5a895c99cd5fc35094",""
"id-06d5bef477f34d99a939a410cd46963b","CompositionRelationship","","","id-e6d019a7dab249d891966b0418d01cae","id-751841dd2f2d4b42aa64ca1685d1432a",""
"id-15f0fabd231749ebbbe63745db29f1bf","CompositionRelationship","","","id-e6d019a7dab249d891966b0418d01cae","id-ac89f2a01b824bdbbf7a39a647df903f",""
"id-9fe82b24533d4724bbd4165ee691e0f4","CompositionRelationship","","","id-e6d019a7dab249d891966b0418d01cae","id-c9d498d5d58e44cdb67285afe7d14587",""
"id-fbda7d8e26bc4f5797b72f257caba433","CompositionRelationship","","","id-e6d019a7dab249d891966b0418d01cae","id-c07ef09ef02940ccb0735267a7fc5d23",""
"id-c0dcd15734bc4c3cbb09da3cbc85e2dd","CompositionRelationship","","","id-d1bda9f4c7f94fc28761d604fa3d86e7","id-98f612a4fe704c3ea46475a09557dcdb",""
"id-f9bd501014ae4a4eba3ddf084de44bf3","CompositionRelationship","","","id-d1bda9f4c7f94fc28761d604fa3d86e7","id-9e6537d95f044dfdaf888d4286cbfc95",""
"id-48da1f2ea5b840b79bf40a7bf2bc544c","CompositionRelationship","","","id-d1bda9f4c7f94fc28761d604fa3d86e7","id-fec2d90d36224d3688f01e78e4d07745",""
"id-7046556726f64b3da34925aea490901a","CompositionRelationship","","","id-ba9384afb9b64aafa10fd1fd0f8eeb1b","id-d2c0209d662144d8828172516d22cca6",""
"id-8579a550dc814bfab2f26def86209316","CompositionRelationship","","","id-ba9384afb9b64aafa10fd1fd0f8eeb1b","id-694b30f4320d4d57ac9385566087653d",""
"id-87fb6e966ee441d4905e59ad5b388c36","CompositionRelationship","","","id-ba9384afb9b64aafa10fd1fd0f8eeb1b","id-41d632b68b5c4e61ba024f533ec9a8ff",""
"id-62889940b8464107a72368501fa76242","CompositionRelationship","","","id-ba9384afb9b64aafa10fd1fd0f8eeb1b","id-bd8b03117f624081ba385edc9ae60698",""
"id-2c05524e01b340428709e4fc5247f65a","CompositionRelationship","","","id-ba9384afb9b64aafa10fd1fd0f8eeb1b","id-a8a47021e39f45f38b2915af77a3b3a2",""
"id-d5cbbba669f741289031b93097bf9af2","CompositionRelationship","","","id-326212a745c24f00a761ecb6e0e46a60","id-e7b3c06a87ea4ca398a25a70e534ef60",""
"id-082d50b963784db6b54fba663e3e3097","CompositionRelationship","","","id-326212a745c24f00a761ecb6e0e46a60","id-ecbac06fb7f343eca90b875a26122eb4",""
"id-c07b302cdce74f12b50d0a1f96dbc7f0","CompositionRelationship","","","id-326212a745c24f00a761ecb6e0e46a60","id-420b8be6203e420b996fc5d0bde9d880",""
"id-aa6fa0e44f2e4182aba87c7265136022","CompositionRelationship","","","id-326212a745c24f00a761ecb6e0e46a60","id-6e69e35c7ce9400b91c33080892bbac4",""
"id-7eb440f72647473dbc6a6c33a9ac712e","CompositionRelationship","","","id-9d504940bf6049cc913e35408dc23a08","id-629289516ce34c35836d4a1b490bf856",""
"id-7edfd9b5f51e4dd799293096a6aeef4b","CompositionRelationship","","","id-9d504940bf6049cc913e35408dc23a08","id-e649a48f71c64344a575bf5492393b9b",""
"id-439ac43cb0b24644811cd1c24643bd8c","CompositionRelationship","","","id-dfab0d8bf78e437d960a1b1f395e5785","id-b1625793457a4c77ada7ec7097c6fcc8",""
"id-25784b5e20ee4c60a7bcf28212c3b6f3","CompositionRelationship","","","id-dfab0d8bf78e437d960a1b1f395e5785","id-c3f8c53d30b340478d2069fb638ba32f",""
