"ID"	"Type"	"Name"	"Documentation"	"Source"	"Target"	"Specialization"
"id-3327aeda8360484882791c7d4b181e90"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-b3172ef212924ada82befe51f8173eb7"	""
"id-5fbc80bc9ee54cee82a3ad726d6d11e7"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-5c05aa029c794682bd9548f60413a0a1"	""
"id-89ee47d8333e48498eae910b8b73201b"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-b27689a27f0b47d2b6da6cbca6aa8dcf"	""
"id-3144088b7f1349bbb664f16cc69ef931"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-44d3d91876764b658e51242df8d66ba9"	""
"id-d4b2c66a84be4172abfc64255502f55f"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-23180fe8c9144a3587ff3f64eab39096"	""
"id-d44a12267aeb477f8b70a97126451ccd"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-c245402b3a7e4b4f9d5d8ba2d6d246cb"	""
"id-82b83e01f71e43d0b9ece4bc531f3317"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-87723e8585af46bc8b750f1ecc66edf5"	""
"id-b4c63b9a84fa42759798b1f0893cd3c0"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-5040ec00a04c482298ecb108deba8259"	""
"id-0860c3b497744c6790ab78e0d6d4c4da"	"AssignmentRelationship"	""	""	"id-adcc8e9aa7454d43b98138c83f781a04"	"id-48e319efd9554015ad0348717db3e6b5"	""
"id-5bd99a9275cd4e79bef3e71fa06995dc"	"AssociationRelationship"	""	""	"id-ed875090cf5d458bb346eec31527bfc4"	"id-6c23fd37287c4ed1a3fc3daac67f5017"	""
"id-3938aa36629f4d7ca82279b8066ea611"	"AssociationRelationship"	""	""	"id-69da15dbe2594bf79e8133fcf8ea7f8b"	"id-a86af3f5728a4732b2aaf3f257ef818e"	""
"id-f9c71ddb8b12463f80bebc672b5e7582"	"AssociationRelationship"	""	""	"id-7bd1e2b1315345ed82e5b9d7c755c6fe"	"id-eb637af41abb47598ba8ccf62085557c"	""
"id-198e0411084d43c89e2d33d00fa04e72"	"AssociationRelationship"	""	""	"id-921a13d7f5914142a6af210bb5a7ba07"	"id-a217b9f21842413fb74bca280d88a0a3"	""
"id-6ceb96b91e124fd6952c01528229af5c"	"AssociationRelationship"	""	""	"id-84f7a5531be440a29a2019db8c22e988"	"id-921a13d7f5914142a6af210bb5a7ba07"	""
"id-521725407f56403c8e2d70558ebb44b7"	"AssociationRelationship"	""	""	"id-53f4ba782e7d4936bf4d4aedfec85913"	"id-921a13d7f5914142a6af210bb5a7ba07"	""
"id-013b73e2f3644d49b092c37f53944d81"	"AssociationRelationship"	""	""	"id-1d8685805928411396af461ef6e2d5ed"	"id-921a13d7f5914142a6af210bb5a7ba07"	""
"id-d2541a9267f34fbda120049c5d8839d8"	"AssociationRelationship"	""	""	"id-d144bce3aab345f49e9ff694491c5770"	"id-921a13d7f5914142a6af210bb5a7ba07"	""
"id-eb8ec2731193490ea3afe7d6535b6af3"	"AssociationRelationship"	""	""	"id-921a13d7f5914142a6af210bb5a7ba07"	"id-410d7f20a06742bfaf5c65e6d9540a95"	""
"id-6fc16d159e714d7d98d2d620179eb654"	"AssociationRelationship"	""	""	"id-2056db53357342d3af9796e42eb30796"	"id-921a13d7f5914142a6af210bb5a7ba07"	""
"id-e2bea71aed0e48be998cf470bec52c81"	"AssociationRelationship"	""	""	"id-1daa06c809a9468d8ffc9bf59ea6fa60"	"id-921a13d7f5914142a6af210bb5a7ba07"	""
"id-40d2065d219e49d1a4e05fb032503cf4"	"AssociationRelationship"	""	""	"id-4d8c9cf2e0d24d238791b015d1b16c06"	"id-921a13d7f5914142a6af210bb5a7ba07"	""
"id-7e1730c875f243c39362ea77715cdc4f"	"AssociationRelationship"	""	""	"id-6584a0c8a6484048924d1288a3636c54"	"id-921a13d7f5914142a6af210bb5a7ba07"	""
"id-a6f41ab4db0a4a4db3a8bef00511d445"	"AssociationRelationship"	""	""	"id-ca360dfa05694e66a069abf2252a49b1"	"id-53b316d243804816acbe48684b9b9453"	""
"id-8c637f13ef7e421681dd189208eb8c19"	"AssociationRelationship"	""	""	"id-921a13d7f5914142a6af210bb5a7ba07"	"id-8b8b3e6f63b6493cb79d792c4aaa382b"	""
"id-dc8839b6ca0540b68d33374eafbbe406"	"AssociationRelationship"	""	""	"id-ca360dfa05694e66a069abf2252a49b1"	"id-8b8b3e6f63b6493cb79d792c4aaa382b"	""
"id-6e113771499e4b9bb6f0473325231a78"	"AssociationRelationship"	""	""	"id-c276cde451b94bbd866de06dd9e88f07"	"id-8268fb4d35fd44c8bc02c3fe75f31402"	""
"id-aaa56aa3ac2441d4843c6d140de04222"	"AssociationRelationship"	""	""	"id-c276cde451b94bbd866de06dd9e88f07"	"id-6c23fd37287c4ed1a3fc3daac67f5017"	""
"id-1d061b5e5f2a4bf1bc4df0ba6572e4a3"	"AssociationRelationship"	""	""	"id-c276cde451b94bbd866de06dd9e88f07"	"id-447152e57f18484fb6a5dc46651e28ae"	""
"id-8d9a93474cbb483c8261a25c4c2484a9"	"AssociationRelationship"	""	""	"id-c276cde451b94bbd866de06dd9e88f07"	"id-60ac7a67a5a84d5cb4275fc70ca6ad11"	""
"id-dbada7a0980447f29f17e1ca3eb84a90"	"AssociationRelationship"	""	""	"id-c276cde451b94bbd866de06dd9e88f07"	"id-da8744d4fb2c4e918ff449ebc1d21f8f"	""
"id-c1c4260b303b46e992d8c6074c678c96"	"AssociationRelationship"	""	""	"id-c276cde451b94bbd866de06dd9e88f07"	"id-1daa06c809a9468d8ffc9bf59ea6fa60"	""
"id-6920a64177de432e87caabb714710e84"	"AssociationRelationship"	""	""	"id-c276cde451b94bbd866de06dd9e88f07"	"id-985aea66c48e4b55b642e3011d0cd159"	""
"id-1ffa95e9490c47208c49c46e1a1fc46e"	"AssociationRelationship"	""	""	"id-c276cde451b94bbd866de06dd9e88f07"	"id-410d7f20a06742bfaf5c65e6d9540a95"	""
"id-27c2f338da9f42baa712be307fa029e9"	"AssociationRelationship"	""	""	"id-c276cde451b94bbd866de06dd9e88f07"	"id-f281bc4d4fc24b8290dfdfea170788ba"	""
"id-6c66e7a3863f4c09b607b690b6c15a4c"	"AssociationRelationship"	""	""	"id-a65247d9b9e84d258f580a9bfd2f9db7"	"id-60ac7a67a5a84d5cb4275fc70ca6ad11"	""
"id-6151476763f84ef5a94e14ed41701964"	"AssociationRelationship"	""	""	"id-a65247d9b9e84d258f580a9bfd2f9db7"	"id-adcc8e9aa7454d43b98138c83f781a04"	""
"id-6a96d2d4c98a4ed8a3e6ed9187b9f730"	"AssociationRelationship"	""	""	"id-a65247d9b9e84d258f580a9bfd2f9db7"	"id-8268fb4d35fd44c8bc02c3fe75f31402"	""
"id-59a1e05d99e541f79f47cd03061a2d5e"	"AssociationRelationship"	""	""	"id-a65247d9b9e84d258f580a9bfd2f9db7"	"id-6c23fd37287c4ed1a3fc3daac67f5017"	""
"id-3755171ad3e14a7f9400c7d295622003"	"AssociationRelationship"	""	""	"id-a65247d9b9e84d258f580a9bfd2f9db7"	"id-6cb3f4d7838a41be9b6265513e9039b0"	""
"id-2c6be90b550c4598a74a625eb135ddb4"	"AssociationRelationship"	""	""	"id-c276cde451b94bbd866de06dd9e88f07"	"id-936dbead013a45db93301bc6dbe51bca"	""
"id-94a4982ad916412f8928cced19756770"	"AssociationRelationship"	""	""	"id-c276cde451b94bbd866de06dd9e88f07"	"id-6cb3f4d7838a41be9b6265513e9039b0"	""
"id-67a4bb7593f248698f7cc9e7d3bc140d"	"AssociationRelationship"	""	""	"id-a65247d9b9e84d258f580a9bfd2f9db7"	"id-936dbead013a45db93301bc6dbe51bca"	""
"id-4937036da0844e04919d1a705e1393cf"	"AssociationRelationship"	""	""	"id-a65247d9b9e84d258f580a9bfd2f9db7"	"id-da8744d4fb2c4e918ff449ebc1d21f8f"	""
"id-92a63f4267ef4d6dbce872bf104bdbf3"	"AssociationRelationship"	""	""	"id-a65247d9b9e84d258f580a9bfd2f9db7"	"id-e31a2da3ade84e94b6812134a93df656"	""
"id-08855d698d0749aeb6cea9641209193d"	"AssociationRelationship"	""	""	"id-a65247d9b9e84d258f580a9bfd2f9db7"	"id-1daa06c809a9468d8ffc9bf59ea6fa60"	""
"id-4c76f3af77414050a550d961df94f7fa"	"AssociationRelationship"	""	""	"id-a65247d9b9e84d258f580a9bfd2f9db7"	"id-410d7f20a06742bfaf5c65e6d9540a95"	""
