"ID"	"Key"	"Value"
"id-a0d31087bf78470fbb0e2512d454a73d"	"Directed"	"false"
"id-dc6f86b20eae499c9dd611ecc0271df5"	"Directed"	"false"
"id-7bcc3cc437b54ccb9ce298adeeceae73"	"Directed"	"false"
"id-85c00c9294f54301b6e33a78cd57413c"	"Directed"	"false"
"id-8e5a14a716c14a41ba5c9139dec5f540"	"Directed"	"false"
"id-691bab9478a2472e8f412016e6645c7e"	"Directed"	"false"
"id-712062effc304e43a672ca08e6e4ea27"	"Directed"	"false"
"id-51f4aff2ce6447a290d492028e9b83f2"	"Directed"	"false"
"id-5f63607339384749842445798d4a85b7"	"Directed"	"false"
"id-aca8ed1f93a346e996480c71bf0ca50d"	"Directed"	"false"
"id-1d1f707eedd046b68b7cd5ad2614e154"	"Directed"	"false"
"id-5149eff41e534f27a6e37d9001ef94ad"	"Directed"	"false"
"id-df0a6d687a454e3aa245cd26e03fd86b"	"Directed"	"false"
"id-c6c54669ac7a4d36848aab31f0bdb4fa"	"Directed"	"false"
"id-4f7ad5b32403470fb8ac52ac4006a38c"	"Directed"	"false"
"id-3adbaa2e5e464212a896a61314c97f5b"	"Directed"	"false"
"id-79d39c434a4742c5bd4e521343c40ef2"	"Directed"	"false"
"id-9ca545dd6ae6470a81eae9f77cef3572"	"Directed"	"false"
"id-044a24f0acad441c9c6990e8d2192288"	"Directed"	"false"
"id-58442f127e1c4521b08ed6bae70010f1"	"Directed"	"false"
"id-c4eb4a85b9b94580beacbb5c285a02d1"	"Directed"	"false"
"id-fa9bb75ecbb948528e8c1a6c4c070389"	"Directed"	"false"
"id-c27361e2cf4a41e396b33248ab307256"	"Directed"	"false"
"id-4bbad93e06a04e41a8b8558e442d42b8"	"Directed"	"false"
"id-78ea59cc9fa34168aae7cbe2796610f3"	"Directed"	"false"
"id-3dd1d01b296f4a41b7754881eed27ea2"	"Directed"	"false"
"id-97bc0d97600e41a9858185bfa62c5c13"	"Directed"	"false"
"id-4c44b975e87740c6933317ff7f2b3b21"	"Directed"	"false"
"id-a9508551355f49b08098cf0f5b455738"	"Directed"	"false"
"id-81e32c4e6aa047a6867276fa52162307"	"Directed"	"false"
"id-9da738dfb2df4c6e9162bb25875aa0b6"	"Directed"	"false"
"id-b8e58276d8114861bb9fe17f82a4e3e5"	"Directed"	"false"
"id-1785565e4562410b8de6db22fdbb97f4"	"Directed"	"false"
"id-d8c58c8c5e9e4f51beb93ad4ee54077a"	"Directed"	"false"
"id-a4545fc3cd614caa8198d81c5636b876"	"Directed"	"false"
"id-3204e8018a034371afaac41f969bd1ff"	"Directed"	"false"
"id-c76c09fd29624d3683cd7dae5c950f07"	"Directed"	"false"
"id-20d5c89d3d9848b2b12a17308782a5b8"	"Directed"	"false"
"id-f5fb9db0cb034d269532a8f02f394e2b"	"Directed"	"false"
"id-0e4248a2d14f4835b19a796bb2a019e3"	"Directed"	"false"
"id-e56936518f0b49ca9601ac8a555bd77b"	"Directed"	"false"
"id-e3a323bef2634d9da776686a520eb0da"	"Directed"	"false"
"id-e2a897e0ec514f87a5949cec342e8d18"	"Directed"	"false"
"id-bcf520852fb24efe9b52379c48fa72d0"	"Directed"	"false"
"id-42d15e484ff4438598efd03e56975dea"	"Directed"	"false"
"id-58da24149cec43048bdc1c9b12f9f17a"	"Directed"	"false"
"id-6a49cd04f3ab4bc38ba302b854d67e6c"	"Directed"	"false"
"id-207869573b0a4d9ea4ae148008c38f6d"	"Directed"	"false"
"id-17040f1b3b1c46139baa08a336c20e4b"	"Directed"	"false"
